ID,Event 1,Event 2,Label
101519,The snake catcher (become) a state trooper,He (pick) up a garter snake,2
102817,This (cause) mass flooding and evacuations,An unexpected storm (roll) through the village,2
104877,She (get) some materials,She (decide) to make her own,2
104571,She swept the dirtier the floor (become),She (pull) out her broom,2
107882,He (draw) the alcohol away,He (start) to think about his daughter,2
108744,They (meet) for coffee,He (start) talking to an old classmate,2
105339,They (inform) him they were recurring charges,He (call) up the bank,2
104896,He (visit) all sorts of places,They (travel) to Japan in early 2013,2
105995,He (see) some game,The man (go) hunting,2
103626,They (put) in an offer,He (look) at various houses,2
103806,He (end) up repeating the entire year,She (manage) to change his schedule,2
100548,She (manage) to get published,She (finish) her fifth novel,2
101427,They (recover) in less than a week,She (apply) fertilizer to her tomato plants,2
104418,He (get) a vacation,He (end) up winning,2
108029,He (display) them in his room,He (win) medals in every meet,2
108085,I (buy) a Ladoo,I (go) to an Indian store,2
101799,He (tell) his trainer,His friend (ignore) him,2
102760,We (open) all our presents,I (get) so many Christmas gifts,2
104790,A big drought (hit) his area,They (live) in the desert,2
100384,He (decide) to pull over,White smoke (blow) up in his face,2
102303,My friends and I (pick) as many,I (see) a star fruit tree,2
105789,They (call) the boy 's parents,The boy (skin) his knee badly,2
104292,He (ask) for money on the sidewalk,He (put) on dirty clothes,2
101351,I (become) busy with other things,My teacher (assign) an essay online,2
106948,The old man (help) her,She (start) crying explaining her problem,2
108881,He (notice) all his food was cold,He (get) his food,2
102670,Ida 's husband (buy) new shears,She (call) her husband,2
103721,A pair of hikers soon (find) him,He (call) for help,2
103314,Officials (cancel) the game,A thunderstorm (occur) the court,2
100033,I (explore) the falls,I drove to Dunn 's river (fall),2
108877,He (break) his arm in two places,He (try) going to a steep incline,2
101366,She (go) to a therapist,They (feel) depressed during the winter,2
101321,They (practice) all week,They (begin) taking piano lessons,2
108339,She (start) making omelets every morning,She (get) some chickens,2
108663,He (develop) a superweapon for the US,Chip (work) at Lockheed Martin,2
105486,They (call) the police,A man (climb) out,2
108961,We (drive) to Provincetown,We (decide) to go to Provincetown,2
101961,She (make) one thousand,She (decide) to start making necklaces,2
105736,They (go) to the gym every day,He (care) about his gains,2
100504,He (hide) a camera in his bedroom,He (notice) his jewelry was missing,2
104461,He (duck) his head,They (open) the lattice door,2
102236,They (win) by a landslide,He (practice) for hours every weekend,2
103577,They (get) a bad sunburn,They (forget) to put on sunscreen,2
106544,I (remove) the door with a screwdriver,I (find) the bin was locked,2
105723,He accidentally (flip) the bag upside down,He (take) a bite of one chip,2
102605,Her dentist (give) her a solution,She (call) her dentist for help,2
103984,They (push) Candy into the house,Their mother (call) them inside for dinner,2
108198,He first (feed) his favorite chicken Betty,They (go) to the hen house,2
106146,His mother (get) home,They (play) video games,2
104684,He (wait) a bit,The signal (go) out,2
106873,He (grab) his wallet and keys,They (run) to the kitchen,2
104585,He (get) what he prayed for,The man (pray) for something,2
106730,He (get) a bump there,The man (head) his head,2
101693,He (test) many different beds,He (go) to the furniture store,2
103082,He (fall) onto the sand under him,He (lose) his grip,2
108045,They (leave) the house right,The house (begin) collapsing,2
104805,They (decide) to reschedule,He (plan) a vacation for his family,2
101385,They 'd (go) many miles,They always (wear) helmets,2
105213,He (walk) out the door,He (hear) a loud beeping,2
107489,He (draw) his last card,He (sit) waiting to play his cards,2
100697,She (decide) to order a martini,She always (drank) youthful girly drinks,2
107544,He (offer) her candy,A man (pull) up to her house,2
101075,The server (bring) the food out,She (request) that be cooked well done,2
100873,I (try) to be efficient,I (decide) to mow the lawn,2
105273,He (join) his high school soccer team,They (give) up soccer,2
106063,They (drive) in the winning run,She (hit) the ball hard,2
108809,She (freeze) each batch for later,Shannon (make) twenty different slow cooker meals,2
103029,He (chase) him down,The man (walk) away,2
106588,I (return) back to work,I finally (get) better,2
103173,He timidly (approach) one,He (visit) a farm in his town,2
106886,She (pass) out because of dehydration,She was thirsty she (finish) her water,2
105644,His friend (appreciate) his honesty,He (confess) to telling the lie,2
103190,I (put) on my costume,The day finally (come),2
108732,They (decide) to head back home,They (catch) a few fish,2
105534,We (enter) the emergency room,I (drive) him to an emergency room,2
104918,The car (go) over a cliff,His car (lose) traction,2
107134,Nellie (let) go of her self consciousness,The teacher (coach) her,2
107665,Dinner (come) out terrific,Her boyfriend (decide) to help her,2
102467,The athletic director (fire) Riley,The local team (start) losing every game,2
102468,The war veteran (feel) proud,He (commensurate) with his veteran friends,2
106749,He (lay) in bed all day long,My son (wake) up feeling ill,2
104649,The road her (look) alarmingly blurry,A lens (pop) out of her eyeglasses,2
107389,He (wrap) them up,He (stock) up on board games,2
104095,He (decide) to go back home,He (ponder) giving the lecture without notes,2
104883,They (crank) the ignition,They (replace) a ton of parts,2
104869,They (save) this woman 's life,She (beat) her attackers off her,2
107735,They (develop) a horrible tummy ache,They (eat) the entire jar of olives,2
107431,She (hit) every jump,She (step) on the ice,2
103013,I (ride) down the bank,He (take) of the training wheels,2
108283,He (buy) a really fancy new oven,He (redo) his kitchen,2
101978,She (get) the dress half off,She (get) to the store,2
107553,The wedding ceremony (take) place,He (take) his son to the wedding,2
101124,We (decide) on Chinese food,We (try) to order takeout food,2
104245,They (become) quite good at dancing together,They (sign) up for lessons,2
106978,He (try) to backtrack,He (realize) he was alone,2
101933,I (make) them in the toaster,I (make) meatballs last night,2
104657,They (spray) the spiders with the spray,He (return) to the attic,2
105347,The public never fully (forgave) him,He (issue) a formal apology,2
107313,He (pretend) to fly,The boy (put) on a cape,2
102858,He never (come) back home,He (go) to the hospital,2
106710,We (become) fast friends,I (meet) Sudeep in college,2
100074,He (approach) the theater,They (make) plans with Diana,2
102448,He (admire) himself in the mirror,He (try) on his new coat,2
101418,He (go) to a local reptile shop,He (decide) he wanted a bearded dragon,2
104120,They (scream) out wondering what went wrong,The water (go) frigid,2
108554,He (call) the chef over,He (eat) rotten food at a diner,2
100318,He (buy) the single level house,He (narrow) his choices to two houses,2
108558,She (get) some copies of Vogue magazine,They (pick) up five books,2
103759,The batter (swing) at the ball,They (throw) the ball underhand,2
101475,She (break) up with Matt,She (play) around on her boyfriend Matt,2
101623,He (take) all of the tickets,He (ignore) my presence,2
102502,He (pack) the cheese into his backpack,They (buy) a block of cheese,2
102008,She (admonish) the crowd they happily did,She (strike) a pose,2
106164,I (put) black dye in them,I (tweeze) my eyebrows,2
108395,He (knell) down on one knee,She (buy) her a wedding ring,2
107657,She (look) into them,She (learn) about modular homes,2
103235,He (run) into an alley,They (start) to panic about the police,2
103980,She (scramble) out of the water,She (see) a shark approaching,2
101468,He (admit) he 'd always come in,He (get) his nerve up,2
106932,They (empty) the registers,He secretly (steal) from the register,2
105930,The men (relax) a bit,The commander (tell) them to break,2
101252,He (go) back home dejected and sad,He (spend) hours looking,2
100724,They (win) the contest easily,The band (take) the stage,2
102207,He (minimize) his level of anxiety,He (take) slow deep breaths,2
103604,He (get) the coordinates wrong,The man (call) in an air strike,2
105057,He (eat) all of them,He (help) me bake them,2
100345,He (go) to the hardware store,They (decide) to build a robot,2
101289,The heat (feel) amazing,I (sit) outside for about five hours,2
107895,They all (branch) out,She (organize) a search party,2
106105,The wife (ask) him to stop,The man (crack) his knuckles more,2
107307,They even (walk) past ignoring me,Nobody (come) to the counter,2
108783,An ambulance (drive) Ava to the hospital,She (bump) her head on a tree,2
103953,The cat (run) all over the house,They (hide) the catnip,2
108644,My heart (start) racing,I (start) hearing a distinct thumping noise,2
102661,A panic (fall) over some people,Traders (feel) eager to sell their shares,2
106335,They (give) Steve the photo,They (pay) Bob off,2
102030,They no longer (fear) spiders,He quickly (grab) a broom,2
102757,We (make) her breakfast in bed,We all (give) her our gifts,2
105150,She (drive) her new car home,She (sign) all the papers,2
106672,I (order) a salad,I (take) a break,2
107582,I (resort) to guessing,I will (feel) anxious,2
107686,They (dove) in felt refreshed,They (decide) to head to the pool,2
104282,She (go) to the eye doctor,Her vision (get) worse,2
108485,He tried he never (get) better,He (practice) everyday with his dad,2
100723,Her cat (jump) out of the bathtub,She (put) him in the bathtub,2
106049,He (train) hard for many months,He (hire) a trainer to help him,2
104480,He (see) beauty in well organized code,Programming (become) an obsession to him,2
102981,Both (score) 100 points,The rival teams (play) each other,2
101744,One kind girl (get) to know her,Her classmates (assume) she was snobby,2
106375,He (fall) in the bubbles,They (walk) onto the carport,2
104642,Betty (manage) to salvage the food,She (run) into the kitchen,2
102156,The storm clouds (begin) to roll in,They (fall) asleep outside under the tree,2
107103,He (tell) the police,The man (find) a skull,2
103590,He (feel) great about his wonderful friends,Everyone (show) up had a great time,2
101873,They (buy) a large impressive engagement ring,He (realize) he wanted to marry her,2
101524,She (give) Peapod negative feedback,I (make) up an order,2
103614,She (decide) to ride the bike,She (discover) her old unused bicycle,2
102978,They (come) across the line first,They (line) up their bikes,2
106288,This feeling (make) him feel bad,The cop (realize) he was powerless,2
102097,The dog (sniff) her,I (bring) the kitten in,2
107983,She (get) a huge settlement,She (sue) the driver,2
104198,He (give) them his address,They (call) the fire department,2
103129,She (put) newspaper on the garage floor,She (clean) up the newspaper,2
102596,The apron (become) stained,She (wipe) her hands on the apron,2
105713,She (drive) home afterwards,She (open) the fruit punch,2
106360,They (stay) for three hours,She (meet) her friends,2
103420,The helmet (feel) better on his head,He (adjust) the straps,2
100091,The truck (roll) back into the street,She accidentally (hit) the emergency brake,2
101164,She (begin) to cry she was pregnant,She (look) at the results,2
105634,We (go) to the small island,I (go) kayaking yesterday,2
103459,The burger (come) with pickles,They (order) a burger and fries,2
103528,He (fire) a new gun,The man (go) to the shooting range,2
108315,She (fall) flat on her belly,She (enter) a diver 's pose,2
107673,Nina (decide) to set her turtle free,Her brother (teach) her about turtles,2
100272,They (spot) a mountain lion,He (start) to slowly look around,2
106739,He (leave) the the debris there,The gardener (cut) the bush down,2
104335,She (cancel) the order,The company (promise) delivery in two days,2
103976,His daughter (get) to the pens,He (leave) his pens on the table,2
106145,They (go) on the swings had fun,They (end) up riding to the park,2
107952,She (shift) in her seat,She (spill) soup down her leg,2
101679,The lid (launch) off,I (decide) to twist the bottle,2
100511,He (visit) a few stores,They (go) shopping today,2
104598,He (get) back on his route,He (stop) at a gas station,2
103296,The medics (come) into the mall,She (land) on several people,2
107340,She (remember) something important from her childhood,A memory (pop) into her head,2
106757,He (feel) sick later,The man (eat) uncooked meat,2
102269,They (decide) to call in a professional,She (remove) the tile first,2
108666,The hot broth (make) him feel better,His girlfriend (make) him some soup,2
101276,She (regret) her forgetfulness,She (forget) her sweater,2
100491,She (go) into labor in the sand,She (start) feeling a terrible pain,2
101477,He (visit) her in the hospital,He was ten she (get) very sick,2
108835,Miranda (hold) onto the ropes,The wooden seat (break) in half,2
107379,He (come) upon an abandoned cranberry bog,He (walk) far into the woods,2
104347,They (run) down the road screaming loudly,They (put) on a clown mask,2
106546,He (offer) his seat to the woman,An elderly woman (get) on the bus,2
102465,He (catch) a mouse in his trap,He (check) the trap,2
103051,We (work) together 34 years ago,The old work group (go) out,2
101189,We (drive) an hour,My friends and I (wake) up early,2
101354,The crowd (rise) to their feet,They (work) hard for many days,2
101587,He (slip) into a contented carb coma,He (eat) so much,2
106718,He (leave) one day for India,He (dream) of Indian food and elephants,2
102871,His bait (start) to rattle,They (go) fishing near the lakeside,2
104597,They (meet) a wonderful girl very quickly,He (decide) to start dating online,2
104344,The bookmark (fall) out,She (put) a bookmark in,2
106133,The vet (prescribe) the medicines,He (bring) his dog to the vet,2
106439,I (sit) there working,I (make) a big pot of coffee,2
106149,The man (stop) feeding the birds,The man (feed) the birds,2
102916,She (get) some very rude suggestions,The landlord (instal) a suggestions box,2
106668,His dad (teach) him what to do,He (go) fishing one sunny day,2
106065,He (take) the phone away from Gina,The teacher (hear) the phone ring,2
100217,She (open) the email,She (check) her email,2
107273,This barber (give) an odd look,I (ask) for a high fade,2
102490,He (hide) behind a tree,They (notice) the bear,2
103950,He (purchase) the fountain over the phone,He (look) through a catalog,2
103253,I never (receive) the bill,I (default) on my mortgage,2
104470,Cole quickly (move) up in ranks,He (attend) the class every week,2
107877,She (develop) a disease,The fox (bite) her however,2
107937,He (bring) his son home,The boy (bust) his lip open,2
107191,We (start) to the store,I (walk) over to a friends,2
105517,He (celebrate) with his friends packed up,He (win) a huge competition,2
106193,I (take) care of them,I (visit) a local nursery,2
101572,The wind (blow) around her,She (come) out of the basement,2
101910,I (step) on an earring,I (step) on something,2
108175,They (start) throwing balloons as soon,They (hear) someone coming,2
100443,He (make) a strange face,Joy (make) cookies for her boyfriend,2
102613,She (fix) the hole,She (buy) some putty,2
106825,I (recommend) some restaurants in Lowell,She (use) to live in Cambridge,2
100471,He (take) the ring back,She (answer) the calls ruining the proposal,2
103656,The fan (make) a weird noise,The man (turn) on the fan,2
105573,They (look) up reviews online,He (decline) the salesman 's offers,2
104654,He (break) his foot in the process,He (miss) the ball,2
104390,My boyfriend (call) me his princess,He (fall) in love with me,2
101856,He (reach) for his hammed,He (look) all around the table,2
101918,The two never (speak),She (decide) to break up with him,2
101814,She (call) the police about the breakin,She (come) home one day,2
102261,The maid (come) over,She (hire) a maid,2
106432,He (notice) his neighbor sneaking over,He (wake) up extra early,2
103328,He (ask) her out on a date,She (see) him everyday,2
106576,The woman (leave) Manny 's door,He (keep) the door closed,2
103652,They (watch) instruction videos trained diligently,They (try) out for the wrestling team,2
104897,He (find) his hotel,He (look) to the skyline,2
105009,The flavor (go) away,The man (chew) some gum,2
101736,They (gaze) out with wonder,They (reach) the summit,2
106412,They (spot) some ruins,They (hire) a plane,2
101393,He (visit) his grandmother,He (pack) up his bags,2
106908,He (bandage) his wound,Carlton accidently (cut) his finger,2
101624,The barber (tell) me where to sit,I (come) into the stop,2
104494,He (bring) the tadpole inside,He (collect) a tadpole,2
107228,They (decide) to order pizza for lunch,He (realize) the microwave was broken,2
103324,He (make) his own pasta and sauce,He (specialize) in Italian dishes,2
100721,She (grab) a few snacks,She (stop) to get gas,2
100094,The girls (complement) Allie,Some nice girls (come) up to her,2
102461,He (believe) the information,He (confirm) the information with another source,2
104827,He (fall) off his board,Riley (try) to land the new trick,2
106343,His friends (administer) medical aid,He (sprain) his arm on the net,2
102754,I (forget) that she hates scary stories,I (tell) my mom a scary story,2
107364,She (go) to a studio,She (decide) to write her own rap,2
108426,The front desk worker (check) me in,I (walk) into the Radiation Oncology center,2
101576,She (step) in a mud puddle,She (decide) to go for a run,2
108427,She (go) bike riding,Kate (buy) a new bike,2
103385,They (serve) the food,The two (sit) down,2
106430,She (walk) home with me,We (ride) on the bus one day,2
103361,I (pour) myself a bowl,I (decide) to have some cereal,2
108509,The FBI (begin) investigating him,He 'd (steal) the funds,2
100355,They (buy) a beautiful blue bird,She (decide) to get a bird,2
100408,He (come) up with an idea,Night (approach) making everything cold,2
104645,He (run) really well that day,The race (start) he was off,2
103588,They (shave) her head,She (go) back to the hair stylist,2
104430,She (get) there though he did not,They (go) on a date with Fred,2
103763,They (deny) him his right,He (ask) for a phone call,2
105614,They (win) the game,They (play) a game to try,2
103041,The tunnel (keep) the man dry,The man (hide) in a tunnel,2
102436,They (look) surprised at Justin,Justin (ask) Abby to the dance,2
106614,The dog (get) loose from Gale,Gale 's dog (see) the cat,2
102985,Someone (answer) his call,They (call) the u haul support line,2
106793,They (start) to gain a large vocabulary,She (begin) reading at a young age,2
106518,He (find) a lot of different information,He (look) for the answer online,2
106934,He (continue) past the bus stop,He (walk) towards the bus stop,2
101568,I (lose) thirty pounds,I (research) diets and weight control,2
101988,She (end) up getting a major bruise,She (fall) down the stairs,2
106267,He (dismantle) the pile,He (bring) them in the house,2
100936,We (find) her under the bed today,She (keep) hiding places,2
107973,They (cry) for days and days,His old dog (get) very sick,2
100285,She (take) a plane,They (dream) to fly over the ocean,2
102120,The team (look) everywhere,The alarm in the building (go) off,2
101805,They (decide) to never tour,He (decide) to do a comeback tour,2
104961,He (suggest) Anna get a prepaid card,A friend (offer) a solution,2
104075,The man (learn) a lesson,He (give) him a ticket,2
107477,She (explore) the walkways,The girl (visit) a castle in Ireland,2
101779,He (hear) an extremely loud explosion,He (pass) by a car repair shop,2
107208,The man (insult) Clyde,A man (come) up to him,2
101051,She (listen) to her mom 's story,Her mom (come) in,2
106223,He (pass) the class,The man (take) a class,2
108127,He (spend) time repairing and customizing guitars,He (quit) his job at the bank,2
102756,I (forgot) to sleep completely,I (lose) track of time completely,2
104229,He (sell) over a million hamburgers,He (open) a large hamburger restaurant,2
103898,I (call) roadside assistance,They (tell) me to call roadside assistance,2
102184,They (get) home from school,Mark (get) some friends together,2
106320,They (receive) an envelope,He (park) in the handicapped section,2
105829,I (find) the napkin had been shredded,I (drop) a napkin on the carpet,2
105456,He (check) for a pulse,The man (find) a body,2
103179,He (give) the sandwich to his son,The man (make) a cheese sandwich,2
108803,They each (order) a Bloody Mary,She (go) there with her friends,2
104876,He (call) some friends for help,They (buy) a shed,2
104985,They (fail) at making them,They (try) to make them,2
101188,They (take) photographs conducted interviews,An officer (spot) the suspect,2
107376,She (walk) to the park restroom,She (skin) her knee badly,2
106422,He (join) the army,He (look) into joining the army,2
106924,A storm (blow) up out of nowhere,She (take) her sailboat out one day,2
102965,He (get) out of the shower,His roommate (come) home,2
105675,They (catch) two fish,They (throw) their lines into the water,2
108997,They (ask) Kim for a pencil,The teacher (get) up,2
107144,He (write) the paper for his class,They (take) notes while watching the documentary,2
103485,She (give) Mary a sudsy bubble bath,Her mom (call) her inside,2
106810,He (pass) the test,He (go) for his road test,2
108821,The electricity (go) off,They (hear) a crack of thunder,2
108795,Cheese (drip) down her chin,She (take) a bite of her omelette,2
107725,The concert (last) all night,The family (load) up into the car,2
101327,She (pick) up the rock,She (reach) her rock,2
101741,They (end) up needing twenty one stitches,His mom (take) him to the hospital,2
105393,She (order) a burger and fries,They (go) to a drive thru,2
101707,Spencer (hit) number one that same day,I (get) home one day,2
100049,She never (speak) to either of them,She (kick) the husband out,2
105016,I (go) to the golf club,I (get) new golf clubs today,2
104459,She (end) up burning herself,She (spill) some on her legs,2
104235,He (nail) the interview,He (approach) her she was very friendly,2
106033,The doctor (suggest) a name,They (ask) the doctor for a name,2
100270,Another car (hit) into his,They just (get) out of a party,2
102829,They (go) to the modern art section,They (go) to the museum,2
108025,He (find) many different ones,He (start) looking for apartments,2
101422,She (feel) heartbroken and lonely,Sandy recently (break) up with her boyfriend,2
101745,She (gasp) at her lovely reflection,She (sit) in the hairdresser chair,2
105794,They (help) Tom sleep better,The doctor (prescribe) some pills,2
108836,The doctor (come) in,The nurse (take) Allison 's blood pressure,2
101087,He (take) the kitten home,He (decide) to adopt a kitten,2
103554,He (lose) the card in his house,He (use) the card for savings,2
101311,He (watch) a bunch of movies,He (lay) on the couch,2
106780,The police (bang) on her door,They (celebrate) late into the night,2
107237,His wife (see) the painting,The man (hang) a painting,2
100366,His mom (rush) out,He (scream) for help,2
107616,She (land) the role in the play,She (hear) back a few days later,2
107227,Everyone (tell) me to quit,I (decide) to simply move my mouth,2
103691,He (play) his favorite machine,The boy (go) to a video arcade,2
102077,He (keep) referring to himself as silk,His coach (use) to call him silk,2
101368,He (win) a prize,He (play) a ring toss game,2
108067,They (split) up into two teams,They (decide) to play capture the flag,2
101412,His wife (shake) him,A man (fall) asleep,2
102961,The man (apologize) repeatedly,She (blame) the man for her situation,2
102549,She (comfort) her daughter,She (drive) to her daughters house,2
108801,The dogs (come) in,She (call) her dogs back inside,2
100387,I (flip) off the balance beam,I (take) up gymnastics,2
103894,I (compete) with my brother,I (play) the boxing game on nintendo,2
103809,She (spend) the entire time complaining,She (decide) to watch with us,2
108951,I (find) the shoe under a blanket,I (start) to panic,2
107297,We (get) detention for being late,We (hear) the music we started running,2
103646,The waves (tear) apart his castle,High tide (come) in,2
102070,The coffee (finish) brewing,They (look) at the coffee machine,2
102232,His car (roll) several times,He (hit) the median,2
105462,They (split) the bill evenly,They (live) with roommates,2
102866,He (decide) to roll down the hill,The man (feel) young,2
104540,They (turn) her around,She (feel) someone grab her arm,2
105208,She finally (get) one acceptance,Publisher publisher (reject) her,2
106180,We (tell) our teachers,She (scream) curse words at us,2
106421,The kids (start) asking what had happened,I (understand) what we had watched,2
102370,They (see) something funny,His daughter (run) across the yard,2
106938,They (ask) if I was okay,My friends and family (start) contacting me,2
107920,She (complement) Suzanne on her appearance,She (attend) a party at her church,2
106263,The rush of hot wind (surprise) him,He (come) out of the plane,2
107155,He (fall) off the mountain,He (rest) at the top,2
105448,I (get) a severe stomach ache,They (go) to Chipotle Chicken for lunch,2
104895,An angry teacher (storm) toward the bully,Freddie suddenly (hear) a loud voice,2
105229,She (give) him a back rub,His girlfriend (feel) sympathetic,2
103919,The rain (start) to fall,Rain clouds (start) to roll in,2
107324,They (return) to the restaurant,He (drive) to an ATM,2
101962,She (cut) off six inches,She (get) out scissors,2
104669,He (get) no luck,They always (play) scratch tickets,2
104310,She (ask) her husband to look,The man (paint) the bride,2
102702,The deer eventually (die),He (go) to check on the Deer,2
101362,She (see) her cat with the paintbrush,They (look) under the bed,2
100890,She almost (throw) up,Somebody (let) a bean burrito explode,2
101453,He (decide) to see a gender therapist,They always (feel) feminine on the inside,2
104819,They (suspect) this was wrong,They (buy) a DNA test on Amazon,2
106505,The actors (sit) around the table reading,They (start) working on a sequel,2
107807,He (turn) around returned,He (realize) he left his card,2
100016,The goldfish (get) skinnier and healthier,She (adjust) her pet 's diet,2
104402,The family (get) together today,My mom (prepare) the Turkey,2
104434,They (identify) the direction of the gunshot,The soldiers (find) cover,2
105408,All (throw) them a party,They (get) together with Bob 's,2
100310,He (find) a soft teddy bear,Glen never (buy) her a present,2
101116,Jay (practice) all summer,The coach (ask) Jay to stay behind,2
107868,He (go) back to eating meat,They (decide) to become a vegetarian,2
108632,They always (let) her win,She mostly (play) against her parents,2
102533,He (take) many great pictures,He (bring) his camera to the wedding,2
102687,She (rub) her cheeks,She (put) makeup on her freckles,2
105569,Ashley (wash) the outside of her car,She (drive) to a car wash,2
106186,They (feel) safe afterwards,He (find) a rat in his kitchen,2
103038,He (pay) for fast shipping,He (find) the one he wanted,2
107046,He (send) them off to his friends,He (write) a few different short stories,2
108696,He (go) to his bed,He (drink) a glass of milk,2
107311,She (give) me a pencil,I just (ask) the teacher for one,2
101090,He (get) to the city,They (go) out to the big city,2
107194,The waitress (bring) back some syrup,The man (ask) for real syrup,2
105593,Marcus (make) a full recovery,He (receive) treatment for his wounds,2
103786,She (get) on the late bus,She (end) up missing the first bus,2
104133,They (see) paw prints in the mud,They (go) on a hike today,2
100596,He (cook) a few slices of bacon,They (wake) up feeling very hungry,2
101482,He (start) to think for himself,He (become) a teenager,2
105967,He (go) around the neighborhood collecting candy,He (put) on his ghost costume,2
101353,I (change) my habits,I (end) up failing the exam,2
107025,He (come) down hard,The boy (go) off a jump,2
108572,She (forget) to contact her friends,She (stop) taking care of herself,2
104019,They (taste) them was astonished,She (marinate) the carrots in brown sugar,2
107356,She (hear) a knock at her door,They (move) to a new town,2
106765,We (go) for Chinese New Year,I (take) her to Chinatown,2
104426,She finally (get) her wish though,She (beg) her parents for one,2
106203,She arrived at school she (feel) better,She (climb) on the bus,2
108467,They (hold) out a banana,They (spot) a monkey outside their room,2
101574,She (find) out that she was cheating,He (propose) to her she said yes,2
